uuid,id,name,description,unit_of_measure,website,updated_at,photo_uuid
ffa5ce56-a174-4aef-a332-a7bb79d8c82a,1,2 Model box,,Nos,,2025-12-30T03:30:00.000Z,
6be9ca63-e4d4-4994-8cd3-f22f24c42271,2,3 Model Box,,Nos,,2025-12-30T03:30:00.000Z,
46e0d391-be62-4654-add8-c76342c7ad1a,3,4 Model Box,,Nos,,2025-12-30T03:30:00.000Z,
7989ab50-0500-4657-9807-2f5085cdac89,5,6 Model Box,,Nos,,2025-12-30T03:30:00.000Z,
88cbe30e-79a5-4645-828a-e93aebfbc56b,6,8 Model Box,,Nos,,2025-12-30T03:30:00.000Z,
e709988d-5de7-4963-8a5f-715fdb82493f,7,12 Model Box,,Nos,,2025-12-30T03:30:00.000Z,
dd33b2a1-6edf-4f18-96d3-26923fc5edf2,8,16 Model Box,,Nos,,2025-12-30T03:30:00.000Z,
ae2c38a4-4bce-47c5-b87b-e8d783c8560d,9,18 Model Box,,Nos,,2025-12-30T03:30:00.000Z,
e1a071da-3418-48bf-bb6a-7882d2fc6d22,10,1 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
b95a58ea-70e8-4322-ad60-49de8b0c629d,11,2 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
35e63739-77d4-44c5-8b41-9e5621746cd1,12,3 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
827e1ae8-21d0-42da-93a4-bdd97007ed18,13,4 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
13b04de3-2f6d-4e33-9888-9b09c3f5758f,14,6 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
9b6baa5f-08f1-46dc-8983-3b9072374f63,15,8 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
c5b2239e-f60a-4603-bcc9-f402c027bdaf,16,12 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
a728b9c0-2edb-4548-8e2d-4abb877877fe,17,16 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
b9a6518a-4902-4759-a268-3d5ef41c54ce,18,18 Model Plate,,Nos,,2025-12-30T03:30:00.000Z,
9ad6917c-046a-4f47-9503-b43c20e6216f,19,1 sq mm wire,,mtrs,,2025-12-30T03:30:00.000Z,
18489a99-ce77-491e-9eb5-cb6a4e8c4aae,20,1.5 sq mm wire,,mtrs,,2025-12-30T03:30:00.000Z,
d2858bc6-874c-4b33-bd19-0a821d301816,21,2.5 sq mm wire,,mtrs,,2025-12-30T03:30:00.000Z,
a4b21753-2581-4326-9e1f-39e16d6d4b2d,22,4 sq mm wire,,mtrs,,2025-12-30T03:30:00.000Z,
08fb6a91-8c90-40dd-b32c-14953f88ddf7,23,6 sq mm wire,,mtrs,,2025-12-30T03:30:00.000Z,
4cdd641a-08ed-4e2a-897c-d0caf17bfb1d,24,10 sq mm wire,,mtrs,,2025-12-30T03:30:00.000Z,
6f2bd090-49dd-4d46-aba0-f459256864b0,25,12 sq mm wire,,mtrs,,2025-12-30T03:30:00.000Z,
26598120-db59-43a4-a17f-5e1196b6493b,26,16 sq mm wire,,mtrs,,2025-12-30T03:30:00.000Z,
95122212-988a-4b24-9d08-408029c969cd,27,5 Amp switch,,Nos,,2025-12-30T03:30:00.000Z,
6fd1301f-6fb6-4c6a-b79e-5241964e99bd,28,5 Amp socket,,Nos,,2025-12-30T03:30:00.000Z,
d0c0206e-9ae0-42d3-ae2b-d5ebd25b5bd6,29,15 Amp switch,,Nos,,2025-12-30T03:30:00.000Z,
28874bf3-e381-4675-9493-689fd3af09d2,30,15 Amp socket,,Nos,,2025-12-30T03:30:00.000Z,
2d7d7e4a-3148-4a00-b3a8-84709d7d45f2,31,Two way switch,,Nos,,2025-12-30T03:30:00.000Z,
1be03227-6379-4788-a4cf-47a4dd4f862d,32,Fan regulator switch type,,Nos,,2025-12-30T03:30:00.000Z,
87fdb6b2-8f24-4305-b419-af528227c307,33,Fan regulator socket type,,Nos,,2025-12-30T03:30:00.000Z,
c4e1ec08-5d22-4682-b846-290216d83271,34,Lan Socket,,Nos,,2025-12-30T03:30:00.000Z,
6416016c-8f1c-4ffc-b843-58e4d807462e,35,Telephone Socket,,Nos,,2025-12-30T03:30:00.000Z,
57a1c794-fb63-4218-961d-c0b77e6596a9,36,TV Socket,,Nos,,2025-12-30T03:30:00.000Z,
2753af18-a5f4-49bd-a45a-af1d15e7c4c8,37,switch dummy,,Nos,,2025-12-30T03:30:00.000Z,
